 State,2019,2020,2021,2022,2023
Johor,"1,606,220","1,611,473","1,620,228","1,720,286","1,751,289"
Kedah,"928,279","932,079","936,990","923,752","934,172"
Kelantan,"804,477","813,488","823,694","781,758","793,288"
Melaka,"396,473","397,925","400,359","430,723","438,794"
Negeri Sembilan,"480,944","481,328","482,182","515,834","522,837"
Pahang,"713,771","716,077","719,408","689,387","701,515"
Perak,"1,071,383","1,070,999","1,071,426","1,073,775","1,084,878"
Perlis,"108,471","108,770","109,069","123,759","124,998"
Pulau Pinang,"755,366","756,049","757,758","743,451","756,562"
Sabah,"1,667,374","1,658,150","1,636,883","1,458,333","1,534,305"
Sarawak,"1,198,302","1,201,334","1,205,221","1,056,308","1,071,682"
Selangor,"2,778,430","2,786,330","2,799,484","3,010,831","3,077,023"
Terengganu,"531,464","537,442","544,531","506,738","516,474"
W.P. Kuala Lumpur,"761,217","754,170","745,886","837,530","853,502"
W.P. Labuan,"42,406","42,449","42,748","41,381","42,491"
W.P. Putrajaya,"44,285","46,933","49,581","49,965","50,904"
 Total,"13,888,947","13,914,997","13,945,489","13,963,724","14,254,715"
