Type of Waste,2019,2020,2021,2022,2023
Food Waste,30.3,34.6,36,30.6,35.5
Plastic,24.8,22.6,23.9,21.9,26.9
Paper,10.5,8.1,8.8,15.3,10.3
Metal,2.3,3.2,2.4,2.4,1.7
Household Hazardous Waste (HHW),1.1,0.7,0.7,4.2,1.2
Tetrapak,0.8,0.9,1.3,1.7,1.1
Glass,1.5,1.7,2,2.7,1.8
Textiles,4.8,3.6,3.5,2.3,3.1
Rubber/ Leather,1.6,1.1,1.3,1.1,1.8
Wood,2.7,1,1.2,1,1
Garden Waste,4.1,4.5,3.6,2.9,3.4
Diapers/ Napkin,11.1,12.8,11.3,8.2,8.9
Comingled,4.1,3.9,0.4,0.7,2.3
Face Mask,0,0,1,1.4,0.7
 Others,0.5,1.3,2.6,3.6,0.4
 Total,100,100,100,100,100
